date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-09-16,4:50pm,JPY,Trade Balance,Medium,-0.36T,-0.35T,-0.38T
2015-09-16,11:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-09-17,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-09-29,4:50pm,JPY,Retail Sales y/y,Medium,0.8%,1.2%,1.8%
2015-09-30,4:50pm,JPY,Tankan Manufacturing Index,Medium,12,13,15
2015-09-30,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,25,21,23
2015-10-01,4:30pm,JPY,Household Spending y/y,Medium,2.9%,0.4%,-0.2%
2015-10-06,8:00pm,JPY,Monetary Policy Statement,High,,,
2015-10-06,11:31pm,JPY,BOJ Press Conference,High,,,
2015-10-07,4:50pm,JPY,Core Machinery Orders m/m,Medium,-5.7%,3.3%,-3.6%
2015-10-07,4:50pm,JPY,Current Account,Medium,1.59T,1.28T,1.32T
2015-10-12,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-10-15,11:35pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-10-27,4:50pm,JPY,Retail Sales y/y,Medium,-0.2%,0.4%,0.8%
2015-10-29,4:30pm,JPY,Tokyo Core CPI y/y,High,-0.2%,-0.2%,-0.2%
2015-10-29,4:30pm,JPY,Household Spending y/y,Medium,-0.4%,1.2%,2.9%
2015-10-29,8:22pm,JPY,Monetary Policy Statement,High,,,
2015-10-29,11:00pm,JPY,BOJ Outlook Report,High,,,
2015-10-29,11:32pm,JPY,BOJ Press Conference,High,,,
2015-11-04,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-11-05,8:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-11-09,3:50pm,JPY,Current Account,Medium,0.78T,1.50T,1.59T
2015-11-11,3:50pm,JPY,Core Machinery Orders m/m,Medium,7.5%,3.3%,-5.7%
2015-11-15,3:50pm,JPY,Prelim GDP q/q,High,-0.2%,-0.1%,-0.3%
2015-11-18,7:17pm,JPY,Monetary Policy Statement,High,,,
2015-11-18,10:31pm,JPY,BOJ Press Conference,High,,,
2015-11-24,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-11-26,3:30pm,JPY,Household Spending y/y,Medium,-2.4%,0.0%,-0.4%
2015-11-26,3:30pm,JPY,Tokyo Core CPI y/y,Medium,0.0%,-0.1%,-0.2%
2015-11-29,3:50pm,JPY,Retail Sales y/y,Medium,1.8%,0.9%,-0.1%
2015-11-29,5:00pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-12-07,3:45am,JPY,BOJ Gov Kuroda Speaks,High,,,
2015-12-07,3:50pm,JPY,Current Account,Medium,1.49T,1.53T,0.78T
2015-12-07,3:50pm,JPY,Final GDP q/q,Medium,0.3%,0.1%,-0.2%
2015-12-08,3:50pm,JPY,Core Machinery Orders m/m,Medium,10.7%,-1.5%,7.5%
2015-12-09,3:50pm,JPY,BSI Manufacturing Index,Medium,3.8,12.1,11.0
2015-12-23,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2015-12-24,3:30pm,JPY,Household Spending y/y,Medium,-2.9%,-2.1%,-2.4%
2015-12-24,3:30pm,JPY,Tokyo Core CPI y/y,Medium,0.1%,0.1%,0.0%
2015-12-13,3:50pm,JPY,Tankan Manufacturing Index,Medium,12,11,12
2015-12-13,3:50pm,JPY,Tankan Non-Manufacturing Index,Medium,25,23,25
2015-12-17,7:50pm,JPY,Monetary Policy Statement,High,,,
2015-12-17,10:30pm,JPY,BOJ Press Conference,High,,,
2015-12-27,3:50pm,JPY,Retail Sales y/y,Medium,-1.0%,-0.1%,1.8%
2016-01-11,3:50pm,JPY,Current Account,Medium,1.42T,1.52T,1.49T
2016-01-12,2:30am,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-02-02,3:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2016-02-02,6:30pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-01-27,3:50pm,JPY,Retail Sales y/y,Medium,-1.1%,0.1%,-1.1%
2016-01-28,3:30pm,JPY,Household Spending y/y,Medium,-4.4%,-2.3%,-2.9%
2016-01-28,3:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.1%,0.1%,0.1%
2016-01-28,7:38pm,JPY,BOJ Policy Rate,High,-0.10%,,
2016-01-28,7:38pm,JPY,Monetary Policy Statement,High,,,
2016-01-28,9:00pm,JPY,BOJ Outlook Report,High,,,
2016-01-28,10:30pm,JPY,BOJ Press Conference,High,,,
2016-02-14,3:50pm,JPY,Prelim GDP q/q,High,-0.4%,-0.3%,0.3%
2016-02-07,3:50pm,JPY,Current Account,Medium,1.64T,1.59T,1.42T
2016-02-08,7:45pm,JPY,30-y Bond Auction,Medium,1.07|3.0,,1.22|3.7
2016-02-28,3:50pm,JPY,Retail Sales y/y,Medium,-0.1%,0.2%,-1.1%
2016-02-29,3:30pm,JPY,Household Spending y/y,Medium,-3.1%,-2.5%,-4.4%
2016-02-25,3:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.1%,0.0%,-0.1%
2016-03-14,8:35pm,JPY,BOJ Policy Rate,High,-0.10%,,-0.10%
2016-03-14,8:35pm,JPY,Monetary Policy Statement,High,,,
2016-03-14,11:32pm,JPY,BOJ Press Conference,High,,,
2016-03-16,11:30pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-03-17,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2016-03-06,7:40pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-03-07,3:50pm,JPY,Current Account,Medium,1.49T,1.66T,1.69T
2016-03-07,3:50pm,JPY,Final GDP q/q,Medium,-0.3%,-0.4%,-0.4%
2016-03-10,3:50pm,JPY,BSI Manufacturing Index,Medium,-7.9,4.2,3.8
2016-03-24,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.3%,-0.2%,-0.1%
2016-03-28,4:30pm,JPY,Household Spending y/y,Medium,1.2%,-1.8%,-3.1%
2016-03-28,4:50pm,JPY,Retail Sales y/y,Medium,0.5%,1.6%,-0.2%
2016-03-31,4:50pm,JPY,Tankan Manufacturing Index,Medium,6,8,12
2016-03-31,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,22,24,25
2016-04-10,11:15pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-04-06,5:30pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-04-07,4:50pm,JPY,Current Account,Medium,1.73T,1.57T,1.49T
2016-04-27,4:30pm,JPY,Household Spending y/y,Medium,-5.3%,-4.0%,1.2%
2016-04-27,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.3%,-0.3%,-0.3%
2016-04-27,4:50pm,JPY,Retail Sales y/y,Medium,-1.1%,-1.4%,0.4%
2016-04-27,8:00pm,JPY,BOJ Policy Rate,High,-0.10%,,-0.10%
2016-04-27,8:00pm,JPY,Monetary Policy Statement,High,,,
2016-04-27,10:00pm,JPY,BOJ Outlook Report,High,,,
2016-04-27,11:30pm,JPY,BOJ Press Conference,High,,,
2016-05-08,4:50pm,JPY,Monetary Policy Meeting Minutes,Medium,,,
2016-05-11,4:50pm,JPY,Current Account,Medium,1.89T,1.90T,1.69T
2016-05-17,4:50pm,JPY,Prelim GDP q/q,Medium,0.4%,0.1%,-0.3%
2016-05-26,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.5%,-0.4%,-0.3%
2016-05-29,4:50pm,JPY,Retail Sales y/y,Medium,-0.8%,-1.2%,-1.0%
2016-05-30,4:30pm,JPY,Household Spending y/y,Medium,-0.4%,-1.3%,-5.3%
2016-06-07,4:50pm,JPY,Current Account,Medium,1.63T,2.04T,1.89T
2016-06-07,4:50pm,JPY,Final GDP q/q,Medium,0.5%,0.5%,0.4%
2016-06-15,7:45pm,JPY,BOJ Policy Rate,High,-0.10%,,-0.10%
2016-06-15,7:45pm,JPY,Monetary Policy Statement,High,,,
2016-06-15,11:30pm,JPY,BOJ Press Conference,High,,,
2016-06-28,4:50pm,JPY,Retail Sales y/y,Medium,-1.9%,-1.6%,-0.9%
2016-06-30,4:30pm,JPY,Household Spending y/y,Medium,-1.1%,-1.3%,-0.4%
2016-06-30,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.5%,-0.5%,-0.5%
2016-06-30,4:50pm,JPY,Tankan Manufacturing Index,Medium,6,4,6
2016-06-30,4:50pm,JPY,Tankan Non-Manufacturing Index,Medium,19,19,22
2016-07-06,5:30pm,JPY,BOJ Gov Kuroda Speaks,High,,,
2016-07-07,4:50pm,JPY,Current Account,Medium,1.41T,1.52T,1.63T
2016-07-09,All Day,JPY,Upper House Elections,Medium,,,
2016-07-28,4:30pm,JPY,Household Spending y/y,Medium,-2.2%,-0.4%,-1.1%
2016-07-28,4:30pm,JPY,Tokyo Core CPI y/y,Medium,-0.4%,-0.4%,-0.5%
2016-07-28,4:50pm,JPY,Retail Sales y/y,Medium,-1.4%,-1.2%,-2.1%
2016-07-28,8:44pm,JPY,BOJ Outlook Report,High,,,
2016-07-28,8:44pm,JPY,BOJ Policy Rate,High,-0.10%,,-0.10%
2016-07-28,8:44pm,JPY,Monetary Policy Statement,High,,,
2016-07-28,11:30pm,JPY,BOJ Press Conference,High,,,
