date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-04-10,7:00am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.6%
2015-04-22,1:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2015-04-22,1:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-04-23,1:30am,GBP,Retail Sales m/m,High,-0.5%,0.4%,0.6%
2015-04-23,1:30am,GBP,Public Sector Net Borrowing,Medium,6.7B,6.6B,4.8B
2015-04-27,3:00am,GBP,CBI Industrial Order Expectations,Medium,1,4,0
2015-04-28,1:30am,GBP,Prelim GDP q/q,High,0.3%,0.5%,0.6%
2015-05-01,1:30am,GBP,Final Manufacturing PMI,High,51.9,54.6,54.0
2015-05-01,1:30am,GBP,Net Lending to Individuals m/m,Medium,3.1B,2.6B,2.6B
2015-05-05,1:30am,GBP,Construction PMI,High,54.2,57.6,57.8
2015-05-06,1:30am,GBP,Final Services PMI,High,59.5,58.6,58.9
2015-05-07,All Day,GBP,Parliamentary Elections,High,,,
2015-05-08,12:00am,GBP,Halifax HPI m/m,Medium,1.6%,0.3%,0.6%
2015-05-08,1:30am,GBP,Goods Trade Balance,Medium,-10.1B,-9.8B,-10.8B
2015-05-11,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-05-11,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-05-12,1:30am,GBP,Manufacturing Production m/m,High,0.4%,0.3%,0.5%
2015-05-12,7:00am,GBP,NIESR GDP Estimate,Medium,0.4%,,0.3%
2015-05-13,1:30am,GBP,Average Earnings Index 3m/y,High,1.9%,1.7%,1.7%
2015-05-13,1:30am,GBP,Claimant Count Change,High,-12.6K,-20.5K,-16.7K
2015-05-13,1:30am,GBP,Unemployment Rate,Medium,5.5%,5.5%,5.6%
2015-05-13,2:30am,GBP,BOE Gov Carney Speaks,High,,,
2015-05-13,2:30am,GBP,BOE Monetary Policy Report,High,,,
2015-05-13,2:30am,GBP,BOE Inflation Letter,Medium,,,
2015-05-28,1:30am,GBP,Second Estimate GDP q/q,High,0.3%,0.4%,0.3%
2015-05-28,1:30am,GBP,Prelim Business Investment q/q,Medium,1.7%,1.2%,-0.9%
2015-05-19,1:30am,GBP,CPI y/y,High,-0.1%,0.0%,0.0%
2015-05-19,1:30am,GBP,PPI Input m/m,Medium,0.4%,0.8%,0.4%
2015-05-19,1:30am,GBP,RPI y/y,Medium,0.9%,0.9%,0.9%
2015-05-20,1:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
2015-05-20,1:30am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-05-21,1:30am,GBP,Retail Sales m/m,High,1.2%,0.4%,-0.7%
2015-05-22,1:30am,GBP,Public Sector Net Borrowing,Medium,6.0B,7.8B,6.1B
2015-05-22,2:45am,GBP,MPC Member Shafik Speaks,Medium,,,
2015-05-22,4:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-06-01,1:30am,GBP,Final Manufacturing PMI,High,52.0,52.7,51.8
