datetime_utc,open,high,low,close,volume,session,date
2022-09-28 04:00:00,1624.508,1625.568,1614.71,1621.795,9.44198,asian_early_london,2022-09-28
2022-09-28 08:00:00,1621.848,1631.494,1615.802,1624.328,15.93885,london,2022-09-28
2022-09-28 12:00:00,1624.328,1659.808,1624.088,1658.645,21.01616,london_ny_overlap,2022-09-28
2022-09-28 16:00:00,1658.685,1662.645,1655.188,1660.515,10.3122,ny,2022-09-28
2022-09-28 20:00:00,1660.495,1660.628,1656.095,1656.095,1.59186,late_ny_early_sydney,2022-09-28
2022-09-29 00:00:00,1656.095,1659.285,1651.875,1654.285,5.22716,late_sydney_early_asian,2022-09-29
2022-09-29 04:00:00,1654.345,1654.418,1641.408,1644.815,9.020035,asian_early_london,2022-09-29
2022-09-29 08:00:00,1644.878,1652.15,1643.385,1651.298,11.93571,london,2022-09-29
2022-09-29 12:00:00,1651.318,1661.898,1644.465,1659.818,20.24431,london_ny_overlap,2022-09-29
2022-09-29 16:00:00,1659.816,1664.746,1657.088,1661.025,11.432780000000001,ny,2022-09-29
2022-09-29 20:00:00,1661.025,1665.045,1659.475,1664.455,1.9980600000000002,late_ny_early_sydney,2022-09-29
2022-09-30 00:00:00,1664.495,1665.165,1659.158,1662.098,4.865349999999999,late_sydney_early_asian,2022-09-30
2022-09-30 04:00:00,1662.098,1674.145,1661.088,1672.997,7.62558,asian_early_london,2022-09-30
2022-09-30 08:00:00,1673.025,1674.055,1662.528,1663.158,10.30481,london,2022-09-30
2022-09-30 12:00:00,1663.168,1675.265,1661.915,1671.228,17.32221,london_ny_overlap,2022-09-30
2022-09-30 16:00:00,1671.238,1671.628,1659.968,1661.645,11.55235,ny,2022-09-30
2022-09-30 20:00:00,1661.608,1662.368,1659.978,1659.978,0.82628,late_ny_early_sydney,2022-09-30
2022-10-02 20:00:00,1662.198,1665.268,1660.125,1664.085,1.239445,late_ny_early_sydney,2022-10-02
2022-10-03 00:00:00,1664.005,1669.385,1663.365,1663.798,4.14708,late_sydney_early_asian,2022-10-03
2022-10-03 04:00:00,1663.813,1668.185,1661.735,1663.658,7.66885,asian_early_london,2022-10-03
2022-10-03 08:00:00,1663.658,1666.796,1659.595,1666.125,8.409659999999999,london,2022-10-03
2022-10-03 12:00:00,1666.101,1694.008,1663.765,1690.265,17.12173,london_ny_overlap,2022-10-03
2022-10-03 16:00:00,1690.265,1701.385,1687.153,1700.698,9.08495,ny,2022-10-03
2022-10-03 20:00:00,1700.598,1702.465,1698.075,1700.918,1.821814,late_ny_early_sydney,2022-10-03
2022-10-04 00:00:00,1700.918,1701.188,1695.068,1699.718,4.3866,late_sydney_early_asian,2022-10-04
2022-10-04 04:00:00,1699.718,1710.591,1697.294,1708.038,8.01692,asian_early_london,2022-10-04
2022-10-04 08:00:00,1708.038,1712.428,1700.422,1705.764,9.83535,london,2022-10-04
2022-10-04 12:00:00,1705.764,1728.814,1703.927,1725.608,15.30576,london_ny_overlap,2022-10-04
2022-10-04 16:00:00,1725.668,1729.435,1719.934,1724.814,10.38311,ny,2022-10-04
2022-10-04 20:00:00,1724.771,1726.388,1723.613,1725.424,1.68668,late_ny_early_sydney,2022-10-04
2022-10-05 00:00:00,1725.434,1725.578,1717.718,1719.224,5.38432,late_sydney_early_asian,2022-10-05
2022-10-05 04:00:00,1719.244,1727.664,1714.933,1716.294,8.23906,asian_early_london,2022-10-05
2022-10-05 08:00:00,1716.294,1716.408,1703.068,1706.088,12.11268,london,2022-10-05
2022-10-05 12:00:00,1706.077,1714.098,1700.458,1708.978,17.231460000000002,london_ny_overlap,2022-10-05
2022-10-05 16:00:00,1709.038,1718.548,1707.548,1716.018,10.60362,ny,2022-10-05
2022-10-05 20:00:00,1716.224,1718.703,1714.648,1718.248,1.1822300000000001,late_ny_early_sydney,2022-10-05
2022-10-06 00:00:00,1718.264,1724.164,1717.874,1722.075,4.42456,late_sydney_early_asian,2022-10-06
2022-10-06 04:00:00,1722.078,1725.434,1719.577,1724.607,6.40196,asian_early_london,2022-10-06
2022-10-06 08:00:00,1724.607,1724.734,1710.768,1714.827,8.84111,london,2022-10-06
2022-10-06 12:00:00,1714.827,1719.513,1708.084,1708.104,14.43482,london_ny_overlap,2022-10-06
2022-10-06 16:00:00,1708.104,1715.084,1706.812,1714.298,8.78074,ny,2022-10-06
2022-10-06 20:00:00,1714.225,1714.534,1710.782,1711.825,1.16011,late_ny_early_sydney,2022-10-06
2022-10-07 00:00:00,1711.825,1713.358,1709.098,1709.732,3.6186100000000003,late_sydney_early_asian,2022-10-07
2022-10-07 04:00:00,1709.728,1713.954,1708.294,1710.824,5.4069400000000005,asian_early_london,2022-10-07
2022-10-07 08:00:00,1710.782,1714.724,1706.088,1709.122,7.27998,london,2022-10-07
2022-10-07 12:00:00,1709.122,1713.284,1690.504,1703.054,18.061680000000003,london_ny_overlap,2022-10-07
2022-10-07 16:00:00,1703.054,1707.118,1693.088,1695.534,8.602219999999999,ny,2022-10-07
2022-10-07 20:00:00,1695.534,1695.814,1694.148,1694.458,0.43039,late_ny_early_sydney,2022-10-07
2022-10-09 20:00:00,1695.464,1699.714,1695.464,1696.568,0.82021,late_ny_early_sydney,2022-10-09
2022-10-10 00:00:00,1696.583,1697.128,1687.034,1688.758,4.64533,late_sydney_early_asian,2022-10-10
2022-10-10 04:00:00,1688.768,1689.514,1682.078,1682.718,6.13947,asian_early_london,2022-10-10
2022-10-10 08:00:00,1682.714,1684.445,1674.028,1676.895,8.41199,london,2022-10-10
