datetime_utc,actual_return,tech_signal,ml_signal,sg_signal
2019-03-15,0.0011669319586205006,-1,1,1.0
2019-03-18,-0.004269824160546745,1,1,1.0
2019-03-19,0.000954142283565748,1,1,1.0
2019-03-20,-0.011688893812946532,-1,1,0.0
2019-03-21,-0.0043758378114651985,-1,-1,0.0
2019-03-22,-0.0008044720557712795,-1,-1,0.0
2019-03-25,0.0005707623452439751,-1,1,0.0
2019-03-26,0.003925006898729239,-1,1,0.0
2019-03-27,-0.004784790091547983,-1,-1,0.0
2019-03-28,-0.006226156202740672,-1,-1,0.0
2019-03-29,0.000782068751541914,-1,1,0.0
2019-04-01,0.007574977913379663,-1,1,0.0
2019-04-02,0.0032289953678372244,-1,-1,0.0
2019-04-03,0.004500320516532343,-1,1,0.0
2019-04-04,-0.005458997237935313,-1,-1,0.0
2019-04-05,-0.002284044348340278,-1,-1,0.0
2019-04-08,-0.00037768787355148275,-1,1,0.0
2019-04-09,-0.0035646614974400234,-1,-1,1.0
2019-04-10,0.0018733780522705494,-1,1,0.0
2019-04-11,0.002679949280040862,-1,-1,0.0
2019-04-12,0.005802457431492609,-1,1,0.0
2019-04-15,0.00028656616436810927,-1,1,1.0
2019-04-16,-0.003950244221129654,1,-1,1.0
2019-04-17,-8.213200477759351e-05,1,-1,1.0
2019-04-18,-0.0036431564157639288,1,-1,0.0
2019-04-19,-0.0006669402729290934,-1,-1,0.0
2019-04-22,-0.0007086588429844221,-1,-1,0.0
2019-04-23,-0.003806573326588253,-1,-1,0.0
2019-04-24,-0.00025568648189915375,-1,-1,0.0
2019-04-25,-0.005627389981556391,-1,-1,0.0
2019-04-26,0.002165981121838496,-1,-1,0.0
2019-04-29,0.0018360346440000391,-1,-1,0.0
2019-04-30,0.005749596089788295,-1,-1,0.0
2019-05-01,0.0012311984968979622,-1,-1,0.0
2019-05-02,-0.0011624145988137482,-1,-1,0.0
2019-05-03,0.001176154829680217,-1,1,0.0
2019-05-06,-0.0025052037666625144,1,-1,0.0
2019-05-07,-0.007296706868301766,1,-1,0.0
2019-05-08,-0.006280913841458754,-1,-1,0.0
2019-05-09,-0.002230795190742132,-1,-1,-1.0
2019-05-10,-0.001492284289828055,-1,-1,-1.0
2019-05-13,-0.008046288589972844,-1,-1,-1.0
2019-05-14,0.0004098497485242414,1,1,-1.0
2019-05-15,-0.006414426945042656,1,1,-1.0
2019-05-16,-0.0002559806184890297,1,1,0.0
2019-05-17,-0.002592359082391275,1,-1,0.0
2019-05-20,-0.0010416166377644489,1,-1,0.0
2019-05-21,0.0028725914666744724,1,1,0.0
2019-05-22,-0.006569890647075434,1,-1,0.0
2019-05-23,-0.006115816546519881,1,-1,-1.0
2019-05-24,0.003382353291348055,1,1,-1.0
2019-05-27,-0.0023880489107575434,1,1,-1.0
2019-05-28,-0.0033831768035902337,1,-1,-1.0
2019-05-29,-0.00040473070080801075,1,-1,0.0
2019-05-30,-0.0033018552134915138,1,-1,0.0
2019-05-31,-0.008141584575203304,1,-1,-1.0
2019-06-03,0.0002193278002204613,1,-1,-1.0
2019-06-04,0.005097010914631121,1,1,-1.0
2019-06-05,-0.0003856226087901922,1,1,-1.0
2019-06-06,0.0018318805153245716,1,1,-1.0
2019-06-07,0.001821340653324176,1,1,-1.0
2019-06-10,-0.003136760428246844,1,-1,-1.0
2019-06-11,0.0036440412233523594,1,-1,-1.0
2019-06-12,-0.0022704422801792254,1,-1,0.0
2019-06-13,-0.002617863976449508,1,-1,0.0
2019-06-14,-0.004371065952571133,1,-1,0.0
2019-06-17,-0.004493153034970984,1,-1,-1.0
2019-06-18,0.00221610609761292,1,-1,-1.0
2019-06-19,0.002715728187355957,1,1,0.0
2019-06-20,-0.003485635534969025,1,1,-1.0
2019-06-21,0.003631745513213271,1,1,-1.0
2019-06-24,-0.0007530852583974785,1,-1,-1.0
2019-06-25,-0.0053906555794015565,1,-1,-1.0
2019-06-26,0.005683254731255314,1,-1,-1.0
2019-06-27,-0.0015294467768660717,1,-1,-1.0
2019-06-28,0.007471339079916258,1,1,-1.0
2019-07-01,-0.004020588453990473,1,-1,-1.0
2019-07-02,-0.009076423375654239,1,1,-1.0
2019-07-03,-0.0015477537665379245,1,1,0.0
2019-07-04,0.0004939849278641794,1,-1,0.0
2019-07-05,0.001664922547345562,1,-1,0.0
2019-07-08,0.0013754140685324717,1,-1,-1.0
2019-07-09,-0.0025685219647095642,1,-1,-1.0
2019-07-10,-0.0014453896535507476,1,1,-1.0
2019-07-11,0.0035139084947435235,1,-1,-1.0
2019-07-12,-0.0031081558078203124,1,1,-1.0
2019-07-15,-0.0037322800824735733,1,-1,-1.0
2019-07-16,-0.0057548856254884834,1,-1,-1.0
2019-07-17,-0.000715127871656368,-1,-1,-1.0
2019-07-18,0.0037860288297138192,-1,1,-1.0
2019-07-19,0.0012391438530896532,-1,-1,-1.0
2019-07-22,-0.0021526436519716374,-1,-1,-1.0
2019-07-23,0.00014852885597165183,1,-1,-1.0
2019-07-24,0.0035082694240997337,1,-1,-1.0
2019-07-25,0.0016792105291698635,1,-1,-1.0
2019-07-26,-0.006295174573119864,1,-1,-1.0
2019-07-29,-0.01091165808920361,1,-1,0.0
2019-07-30,-0.007275422716583725,1,-1,0.0
2019-07-31,0.0017104084014272212,1,-1,-1.0
2019-08-01,-0.015269781580569984,1,-1,0.0
2019-08-02,-0.005844770519134876,1,-1,0.0
2019-08-05,-0.008640790800713142,1,-1,-1.0
2019-08-06,0.007922262725484795,1,1,-1.0
2019-08-07,-0.004244349797809973,1,1,-1.0
2019-08-08,-0.0021911421143308504,1,1,-1.0
2019-08-09,-0.014826450153237133,1,-1,-1.0
2019-08-12,0.004442794767642506,1,-1,-1.0
2019-08-13,0.010554794414754435,1,-1,-1.0
2019-08-14,-0.006867553813502795,-1,-1,-1.0
2019-08-15,0.004360086869244073,-1,-1,-1.0
