datetime_utc,actual_return,tech_signal,ml_signal,sg_signal
2023-07-07,-0.0006231570554215221,1,1,0.0
2023-07-10,0.0032674088391857186,1,-1,-1.0
2023-07-11,0.012810414334619996,1,-1,-1.0
2023-07-12,0.0015324108197861239,1,1,0.0
2023-07-13,0.0004592781602337969,1,-1,0.0
2023-07-14,-0.003936082358076339,1,-1,1.0
2023-07-17,0.012622280219577665,1,-1,1.0
2023-07-18,0.0001517429045972916,1,1,1.0
2023-07-19,-0.004663169815610156,1,-1,1.0
2023-07-20,-0.002034278228194697,1,1,1.0
2023-07-21,-0.002038424953129538,1,1,1.0
2023-07-24,0.0009177681383584213,1,1,1.0
2023-07-25,0.003459707764402656,1,1,1.0
2023-07-26,-0.012007399562659367,1,-1,1.0
2023-07-27,0.007680922504028945,1,1,0.0
2023-07-28,0.005138771146053185,1,1,0.0
2023-07-31,-0.015238610077067491,1,-1,1.0
2023-08-01,-0.0017018269642495524,-1,1,0.0
2023-08-02,-0.0027911448212779625,-1,-1,0.0
2023-08-03,0.0039260178715701454,-1,1,-1.0
2023-08-04,-0.0031499215966816637,-1,1,0.0
2023-08-07,-0.00487351880894349,-1,1,-1.0
2023-08-08,-0.004531822404694047,-1,-1,-1.0
2023-08-09,-0.0005222204866973095,-1,1,-1.0
2023-08-10,-0.0007838424255554935,-1,-1,-1.0
2023-08-11,-0.0012031118637710577,-1,1,-1.0
2023-08-14,-0.0042485053218492995,-1,-1,-1.0
2023-08-15,-0.0033696785716192438,-1,-1,-1.0
2023-08-16,-0.00634889183821112,-1,-1,-1.0
2023-08-17,0.0010609517869105895,1,-1,-1.0
2023-08-18,0.0038101719353386674,1,1,-1.0
2023-08-21,0.0016360008536025392,-1,-1,-1.0
2023-08-22,0.011586265785144559,-1,-1,-1.0
2023-08-23,-0.0001564098483359136,-1,-1,-1.0
2023-08-24,-0.0037082411186101292,1,1,-1.0
2023-08-25,0.003551870450310385,1,1,-1.0
2023-08-28,0.009651369784435556,1,-1,0.0
2023-08-29,0.004019820260445598,1,1,0.0
2023-08-30,-0.003142358107314131,1,-1,0.0
2023-08-31,0.0008252180232353599,1,-1,0.0
2023-09-01,-0.007035775353867591,1,-1,0.0
2023-09-05,-0.004214024777917188,1,1,0.0
2023-09-06,-0.00031284575797763917,1,-1,0.0
2023-09-07,0.00046926375810114266,1,1,0.0
2023-09-08,0.0025509680494884674,1,1,0.0
2023-09-11,-0.006258821711373876,1,-1,0.0
2023-09-12,-0.0011517503252713073,1,1,0.0
2023-09-13,0.0004713280283196849,-1,-1,0.0
2023-09-14,0.00714714748905865,-1,1,0.0
2023-09-15,0.00404651357660179,1,-1,0.0
2023-09-18,0.00025883266612720474,1,-1,0.0
2023-09-19,0.007014664451038077,1,1,0.0
2023-09-20,-0.01366199313993277,1,-1,0.0
2023-09-21,0.003225343940292486,1,1,0.0
2023-09-22,-0.004580980852414335,1,1,0.0
2023-09-25,-0.008488367011878661,1,1,0.0
2023-09-26,-0.015270736211994486,-1,1,0.0
2023-09-27,-0.00600213547461397,-1,1,0.0
2023-09-28,-0.006633460391607326,-1,1,0.0
2023-09-29,-0.009842104245885759,1,1,-1.0
2023-10-02,-0.0029551953045940734,1,-1,-1.0
2023-10-03,-0.0033487861038288733,1,1,-1.0
2023-10-04,-0.0010453767983574398,1,-1,-1.0
2023-10-05,0.007458615173471331,1,-1,-1.0
2023-10-06,0.010490108470351069,1,-1,0.0
2023-10-09,0.006198645369741984,-1,-1,0.0
2023-10-10,0.0063206856067081355,-1,-1,-1.0
2023-10-11,-0.0018706079095983437,1,-1,0.0
2023-10-12,0.03060790174466398,1,-1,0.0
2023-10-13,-0.003274031158004355,1,-1,1.0
2023-10-16,0.0008324968566679965,1,1,0.0
2023-10-17,0.016813236521731816,1,1,0.0
2023-10-18,0.006677383090401854,1,-1,0.0
2023-10-19,0.007137632114181281,1,1,0.0
2023-10-20,-0.0031322401557761035,-1,-1,0.0
2023-10-23,-0.0006580360180047346,1,1,1.0
2023-10-24,0.004597000160347399,1,1,1.0
2023-10-25,0.001561189672270813,-1,-1,1.0
2023-10-26,0.0007042731011225338,-1,-1,1.0
2023-10-27,0.003814487522985484,-1,-1,1.0
2023-10-30,-0.0055257086747362814,-1,-1,1.0
2023-10-31,-0.0032290150880346837,1,1,1.0
2023-11-01,0.003430498125605901,1,-1,1.0
2023-11-02,0.0029670004669155115,1,1,1.0
2023-11-03,-0.004983536766928077,1,-1,1.0
2023-11-06,-0.007496705490809856,1,1,0.0
2023-11-07,-0.007809573743291399,-1,1,0.0
2023-11-08,0.006486705243964605,-1,-1,0.0
2023-11-09,-0.016218778932181384,-1,1,0.0
2023-11-10,0.006652779492155402,-1,1,0.0
2023-11-13,0.008343430595057662,-1,1,0.0
2023-11-14,-0.0008669641439556413,-1,-1,0.0
2023-11-15,0.01206913677911117,-1,1,0.0
2023-11-16,-0.001160029800050694,-1,1,0.0
2023-11-17,-0.0019700582161406464,-1,1,0.0
2023-11-20,0.010862615061766792,-1,-1,0.0
2023-11-21,-0.00395922248666503,-1,-1,0.0
2023-11-22,0.005408630384414501,1,-1,0.0
2023-11-24,0.004783316372955456,1,-1,0.0
2023-11-27,0.013772846290545529,1,-1,0.0
2023-11-28,0.003621431258757891,-1,-1,0.0
2023-11-29,-0.004406156206906349,-1,-1,0.0
2023-11-30,0.016013593082084946,1,-1,0.0
2023-12-01,-0.022906437155782847,-1,-1,0.0
2023-12-04,-0.002770483946805801,1,1,0.0
2023-12-05,0.005927406833356961,1,-1,1.0
2023-12-06,-0.00029552536040616107,1,1,1.0
2023-12-07,-0.01568969924387106,1,1,1.0
2023-12-08,-0.01021061033941788,-1,1,1.0
2023-12-11,-0.00010109265866683018,-1,-1,1.0
2023-12-12,0.0022726708042306704,-1,-1,1.0
2023-12-13,0.0238764749712153,-1,1,1.0
2023-12-14,-0.004492380744304254,-1,-1,1.0
2023-12-15,0.00256958841333575,-1,1,1.0
2023-12-18,0.005953704386447858,-1,1,1.0
2023-12-19,-0.0019151099131709602,-1,-1,1.0
2023-12-20,0.002258433605997511,-1,1,1.0
2023-12-21,0.008788749383462479,1,1,1.0
2023-12-22,0.0005345192470838028,1,-1,1.0
2023-12-26,0.011449100696166307,1,1,1.0
2023-12-27,-0.0038500458433421737,1,-1,1.0
2023-12-28,-0.0055605396969713086,1,1,1.0
2023-12-29,0.0009692741355228508,1,1,1.0
2024-01-02,-0.014736982781769346,1,1,1.0
2024-01-03,0.0039740504436172235,-1,1,1.0
2024-01-04,4.895124937695209e-05,-1,1,0.0
2024-01-05,-0.007766098913480351,-1,-1,0.0
2024-01-08,-9.86682319452515e-05,-1,1,1.0
2024-01-09,-0.0023221142671955622,-1,-1,1.0
2024-01-10,-0.0036669527431482853,-1,-1,0.0
2024-01-11,0.015956951403282443,-1,-1,0.0
2024-01-12,-0.010165310319773104,-1,-1,0.0
2024-01-16,-0.011617081726109126,-1,1,0.0
2024-01-17,0.007957865627687473,-1,-1,0.0
2024-01-18,0.0039059773581561485,-1,-1,0.0
2024-01-19,-0.003311646301174295,-1,-1,0.0
2024-01-22,0.0019289741822805175,-1,1,0.0
2024-01-23,-0.004854342213876016,-1,1,0.0
2024-01-24,0.0014885385122534204,-1,-1,-1.0
2024-01-25,-4.9570163444326434e-05,-1,-1,-1.0
2024-01-26,0.004156315901078261,-1,-1,0.0
2024-01-29,0.003105999442300761,-1,-1,0.0
2024-01-30,0.008284516486208303,-1,-1,0.0
2024-01-31,0.0022431851049437793,1,-1,0.0
2024-02-01,-0.008265936631712335,1,-1,0.0
2024-02-02,-0.005120905671782804,1,1,0.0
2024-02-05,0.004334792726306237,1,-1,0.0
2024-02-06,0.0003439817122514089,1,1,0.0
2024-02-07,-0.0014751441294395143,1,-1,0.0
2024-02-08,-0.004389060106493958,1,1,0.0
2024-02-09,-0.002523865081532603,-1,-1,0.0
2024-02-12,-0.012615124246704407,-1,-1,0.0
2024-02-13,-0.0013054709316034623,-1,-1,0.0
2024-02-14,0.005911211825203883,-1,-1,0.0
2024-02-15,0.004684094906416618,-1,-1,0.0
2024-02-16,0.007922794599725029,-1,-1,0.0
2024-02-20,-0.002568005317217988,-1,-1,0.0
2024-02-21,-0.0012865403339371805,-1,-1,0.0
2024-02-22,0.009314324420003009,-1,-1,0.0
2024-02-23,-0.004966682111913847,1,-1,0.0
2024-02-26,0.0027076939620032797,1,1,0.0
2024-02-27,-0.0004917629801586159,1,1,0.0
2024-02-28,0.006227470697706523,1,-1,0.0
2024-02-29,0.019939659139843434,1,-1,0.0
2024-03-01,0.014650906546489963,1,-1,0.0
2024-03-04,0.007433252615668022,-1,-1,0.0
2024-03-05,0.00784356635087546,-1,-1,0.0
2024-03-06,0.0035744768391498196,-1,-1,0.0
2024-03-07,0.009500646655496024,-1,-1,0.0
2024-03-08,0.001788495240181465,-1,-1,0.0
2024-03-11,-0.010177664197878154,-1,-1,0.0
2024-03-12,0.006919166252700285,-1,-1,0.0
2024-03-13,-0.0057163638155206895,-1,1,0.0
2024-03-14,-0.0026386845425951824,1,-1,0.0
2024-03-15,0.0015747582428707817,1,-1,0.0
2024-03-18,-0.0020384080923120792,1,-1,0.0
2024-03-19,0.0007416687251718953,1,-1,0.0
2024-03-20,0.01128966261576579,1,-1,0.0
2024-03-21,-0.011196893703511956,-1,-1,0.0
2024-03-22,0.00770847852509448,-1,-1,0.0
2024-03-25,0.0003678047123048936,-1,1,1.0
2024-03-26,0.006870990033479146,-1,1,1.0
2024-03-27,0.012159770828042574,-1,1,1.0
2024-03-28,0.008576849575533693,-1,1,1.0
2024-04-01,0.010895049405066982,-1,-1,1.0
2024-04-02,0.014664135564459967,-1,1,1.0
2024-04-03,-0.002443644773025144,-1,1,1.0
2024-04-04,0.015993363911782323,-1,1,1.0
2024-04-05,0.002576546332762105,-1,1,1.0
2024-04-08,0.005047944048811655,-1,1,1.0
2024-04-09,-0.005948917440644637,-1,1,1.0
2024-04-10,0.010759197967561912,-1,-1,1.0
2024-04-11,0.0005943121990892287,-1,1,1.0
2024-04-12,0.00406612066202905,-1,-1,1.0
2024-04-15,0.010511806622644015,-1,-1,1.0
2024-04-16,-0.00802108139040866,-1,1,1.0
2024-04-17,0.004459451082454631,-1,1,1.0
2024-04-18,0.006735379565596977,-1,-1,1.0
2024-04-19,-0.02798980048135961,-1,1,1.0
2024-04-22,-0.001931372558694458,-1,1,1.0
2024-04-23,-0.0013756724603899396,-1,1,1.0
2024-04-24,0.0022774857931127522,-1,1,1.0
2024-04-25,0.0021438073190774686,-1,1,1.0
2024-04-26,0.004529666146779777,-1,1,1.0
2024-04-29,-0.02329297954868033,-1,1,1.0
2024-04-30,0.0037026594091494527,-1,1,1.0
2024-05-01,-0.0003043861623244103,-1,1,1.0
