date,gld_holdings,cot_net_long,us_real_yield,m2_money_supply
2015-10-26,286765105.79,,0.59,
2015-10-27,295516448.81,,0.57,
2015-10-28,908528925.99,,0.63,
2015-10-29,565145782.29,,0.67,
2015-10-30,605871776.92,,0.63,
2015-11-01,,,,12317.0
2015-11-02,634523925.6,,0.65,
2015-11-03,764404217.99,,0.65,
2015-11-04,807258275.3,,0.68,
2015-11-05,626561400.38,,0.71,
2015-11-06,919400776.52,,0.75,
2015-11-09,431088486.3,,0.76,
2015-11-10,463684345.36,,0.77,
2015-11-11,366270714.46,,,
2015-11-12,654306915.39,,0.78,
2015-11-13,333898144.13,,0.76,
2015-11-16,306068949.3,,0.76,
2015-11-17,879417822.53,,0.72,
2015-11-18,516636435.54,,0.71,
2015-11-19,526871843.58,,0.68,
2015-11-20,615612222.13,,0.66,
2015-11-23,413386058.64,,0.64,
2015-11-24,358190032.5,,0.62,
2015-11-25,300340995.32,,0.62,
2015-11-26,,,,
2015-11-27,505602000.0,,0.62,
2015-11-30,690304147.6,,0.62,
2015-12-01,475182646.33,,0.58,12387.9
2015-12-02,1029404239.96,,0.62,
2015-12-03,661429837.89,,0.72,
2015-12-04,1109914168.18,,0.68,
2015-12-07,451080636.96,,0.67,
2015-12-08,350920919.5,,0.68,
2015-12-09,618539428.32,,0.69,
2015-12-10,395176436.76,,0.73,
2015-12-11,700983028.15,,0.67,
2015-12-14,566339207.09,,0.78,
2015-12-15,693493249.07,,0.8,
2015-12-16,852023550.0,,0.84,
2015-12-17,1020698100.0,,0.77,
2015-12-18,851615643.64,,0.73,
2015-12-21,657983544.73,,0.75,
2015-12-22,423112337.52,,0.78,
2015-12-23,288657427.11,,0.76,
2015-12-24,176236115.22,,0.73,
2015-12-25,,,,
2015-12-28,343238562.73,,0.74,
2015-12-29,289450831.36,,0.79,
2015-12-30,379817893.14,,0.77,
2015-12-31,387942452.5,,0.73,
2016-01-01,,,,12518.5
2016-01-04,662611596.07,,0.69,
2016-01-05,361160955.07,,0.69,
2016-01-06,975168504.94,,0.65,
2016-01-07,1245181977.9,,0.66,
2016-01-08,811432178.34,,0.65,
2016-01-11,656971162.6,,0.72,
2016-01-12,577344236.93,,0.69,
2016-01-13,766990232.94,,0.65,
2016-01-14,1029077048.47,,0.67,
2016-01-15,1046285034.41,,0.67,
2016-01-18,,,,
2016-01-19,477101847.4,,0.68,
2016-01-20,1066439260.8,,0.69,
2016-01-21,572283238.41,,0.74,
2016-01-22,439456500.0,,0.72,
2016-01-25,723401964.49,,0.69,
2016-01-26,905892393.73,,0.65,
2016-01-27,890962466.2,,0.62,
2016-01-28,630098873.41,,0.58,
2016-01-29,866155940.28,,0.53,
2016-02-01,1131478021.96,,0.57,12603.9
2016-02-02,719447015.62,,0.51,
2016-02-03,1724533100.0,,0.5,
2016-02-04,1461038804.97,,0.51,
2016-02-05,1659786331.49,,0.53,
2016-02-08,3226078847.89,,0.52,
2016-02-09,2062238019.25,,0.53,
2016-02-10,1523588493.81,,0.5,
2016-02-11,5850489220.03,,0.45,
2016-02-12,2009894842.36,,0.49,
2016-02-15,,,,
2016-02-16,1675837059.98,,0.53,
2016-02-17,1222055587.52,,0.53,
2016-02-18,1607147097.44,,0.51,
2016-02-19,1786275387.82,,0.5,
2016-02-22,1233179099.19,,0.46,
2016-02-23,1058895159.03,,0.42,
2016-02-24,2109782278.95,,0.39,
2016-02-25,1474035353.11,,0.32,
2016-02-26,1464472268.63,,0.35,
2016-02-29,1366436192.97,,0.32,
2016-03-01,1665185313.54,,0.35,12661.8
2016-03-02,1056608042.72,,0.33,
2016-03-03,2260560655.86,,0.3,
2016-03-04,1960113008.89,,0.37,
2016-03-07,1133700798.29,,0.43,
2016-03-08,1390408001.11,,0.37,
2016-03-09,1037105397.88,,0.39,
2016-03-10,2199745350.0,,0.45,
2016-03-11,1291096782.6,,0.44,
2016-03-14,1678020933.1,,0.45,
2016-03-15,1172734718.9,,0.47,
2016-03-16,2090306996.52,,0.36,
2016-03-17,1191004831.77,,0.34,
2016-03-18,2032514871.78,,0.27,
2016-03-21,861341769.37,,0.28,
2016-03-22,809733091.43,,0.31,
2016-03-23,1865025366.76,,0.3,
2016-03-24,730657108.5,,0.34,
2016-03-25,,,,
2016-03-28,452303054.08,,0.33,
2016-03-29,1718742254.92,,0.2,
2016-03-30,1261061593.57,,0.18,
2016-03-31,1099722242.29,,0.16,
2016-04-01,1216703425.18,,0.17,12743.2
2016-04-04,887815766.66,,0.14,
2016-04-05,1043161826.47,,0.14,
2016-04-06,882826854.43,,0.17,
2016-04-07,1411518312.26,,0.12,
2016-04-08,1075214129.77,,0.14,
2016-04-11,1181815367.98,,0.17,
2016-04-12,1163224504.57,,0.22,
2016-04-13,1050104925.32,,0.21,
2016-04-14,1541846846.04,,0.24,
2016-04-15,924268737.65,,0.2,
2016-04-18,684045839.59,,0.21,
2016-04-19,2514946808.51,,0.19,
2016-04-20,1217443816.49,,0.23,
2016-04-21,1745060549.24,,0.24,
2016-04-22,1184440823.87,,0.25,
2016-04-25,516594176.67,,0.26,
2016-04-26,1175937129.77,,0.27,
2016-04-27,949510663.3,,0.19,
2016-04-28,1835554357.86,,0.12,
2016-04-29,2354778264.06,,0.12,
2016-05-01,,,,12802.0
2016-05-02,1495825474.07,,0.2,
2016-05-03,1114460247.7,,0.17,
2016-05-04,1148554013.4,,0.16,
2016-05-05,1079941080.3,,0.13,
2016-05-06,1400162427.47,,0.18,
2016-05-09,1114347544.09,,0.18,
2016-05-10,1191048133.05,,0.15,
2016-05-11,926903032.85,,0.14,
2016-05-12,902290663.27,,0.15,
2016-05-13,933856480.98,,0.13,
2016-05-16,865145421.68,,0.15,
2016-05-17,1053511966.52,,0.15,
2016-05-18,1607142149.58,,0.26,
2016-05-19,1718899878.39,,0.29,
2016-05-20,1242517964.5,,0.29,
2016-05-23,1029948257.7,,0.3,
2016-05-24,1498155638.98,,0.31,
2016-05-25,1226804389.21,,0.29,
2016-05-26,687064240.79,,0.25,
2016-05-27,1004356277.86,,0.27,
2016-05-30,,,,
2016-05-31,950252836.01,,0.3,
2016-06-01,973849644.51,,0.31,12852.5
2016-06-02,531110363.59,,0.27,
2016-06-03,1736254247.89,,0.19,
2016-06-06,1175869049.89,,0.19,
2016-06-07,546916576.6,,0.15,
2016-06-08,1406167807.35,,0.12,
2016-06-09,1476097500.0,,0.12,
2016-06-10,1697055570.22,,0.12,
2016-06-13,1544552680.31,,0.15,
2016-06-14,1430479169.89,,0.17,
2016-06-15,1861755044.59,,0.13,
2016-06-16,3259591226.84,,0.15,
2016-06-17,1930372462.47,,0.2,
2016-06-20,1462034491.14,,0.24,
2016-06-21,1762523850.59,,0.28,
2016-06-22,950394911.99,,0.25,
2016-06-23,1285765545.53,,0.24,
2016-06-24,4508645400.0,,0.15,
2016-06-27,2689264390.48,,0.12,
2016-06-28,2005307975.12,,0.09,
2016-06-29,1537563411.25,,0.1,
2016-06-30,2021192971.51,,0.09,
2016-07-01,1918535341.71,,0.03,12911.9
2016-07-04,,,,
2016-07-05,2463322137.23,,-0.03,
2016-07-06,2262967566.76,,-0.05,
2016-07-07,2141812880.68,,-0.03,
2016-07-08,2301615859.34,,-0.06,
2016-07-11,1403520451.12,,0.01,
2016-07-12,3364338180.37,,0.07,
2016-07-13,946706518.04,,0.03,
2016-07-14,1544818514.22,,0.08,
2016-07-15,1762073913.13,,0.11,
2016-07-18,1078531495.77,,0.1,
2016-07-19,657764742.27,,0.12,
2016-07-20,1476805795.81,,0.13,
2016-07-21,1196518188.68,,0.05,
2016-07-22,974916588.23,,0.06,
2016-07-25,1648600534.04,,0.08,
2016-07-26,959263200.0,,0.07,
2016-07-27,2185011171.17,,0.03,
2016-07-28,1182361421.92,,0.0,
2016-07-29,1768083577.43,,-0.03,
2016-08-01,918741286.68,,0.05,12989.7
2016-08-02,996930288.7,,0.11,
2016-08-03,649637224.42,,0.09,
2016-08-04,637414923.03,,0.04,
2016-08-05,2066960554.45,,0.09,
2016-08-08,863253088.54,,0.08,
2016-08-09,959751177.13,,0.06,
2016-08-10,796583456.87,,0.06,
2016-08-11,1246544328.12,,0.1,
2016-08-12,1961424943.49,,0.07,
2016-08-15,579217455.41,,0.1,
2016-08-16,1114875517.59,,0.13,
2016-08-17,1546471800.0,,0.09,
2016-08-18,1226622471.8,,0.06,
2016-08-19,1364173010.01,,0.1,
2016-08-22,1102383605.47,,0.08,
2016-08-23,1154758779.31,,0.07,
2016-08-24,1710605648.42,,0.08,
2016-08-25,748076868.89,,0.09,
2016-08-26,2264828639.83,,0.15,
2016-08-29,702531136.98,,0.11,
2016-08-30,1234921297.94,,0.11,
2016-08-31,1662581181.74,,0.11,
2016-09-01,1613447044.79,,0.12,13054.9
2016-09-02,1432595198.55,,0.13,
2016-09-05,,,,
2016-09-06,1945490364.48,,0.06,
2016-09-07,1136446583.85,,0.03,
2016-09-08,1347580023.32,,0.09,
2016-09-09,1582549800.0,,0.17,
2016-09-12,1410250536.2,,0.17,
2016-09-13,1114949800.0,,0.24,
2016-09-14,734455927.78,,0.21,
2016-09-15,1603532483.13,,0.22,
2016-09-16,2375527159.63,,0.19,
2016-09-19,621537070.49,,0.2,
2016-09-20,711495693.85,,0.2,
2016-09-21,1736777282.19,,0.15,
2016-09-22,1937533155.36,,0.08,
2016-09-23,983198606.75,,0.05,
2016-09-26,745236402.83,,0.05,
2016-09-27,787665051.09,,0.04,
2016-09-28,852956902.25,,0.01,
2016-09-29,939019785.73,,0.02,
2016-09-30,1407708245.16,,0.0,
2016-10-01,,,,13122.8
2016-10-03,1133406609.24,,0.0,
2016-10-04,2948365548.75,,0.07,
2016-10-05,1777652100.03,,0.1,
2016-10-06,2144032047.62,,0.11,
2016-10-07,2144220063.75,,0.1,
2016-10-10,542450320.53,,,
2016-10-11,725106633.51,,0.13,
2016-10-12,580571353.64,,0.15,
2016-10-13,862367529.23,,0.12,
2016-10-14,785066532.01,,0.13,
2016-10-17,571819073.46,,0.09,
2016-10-18,592430264.99,,0.09,
2016-10-19,729057981.67,,0.08,
2016-10-20,784411544.12,,0.08,
2016-10-21,810503486.28,,0.07,
2016-10-24,660801402.62,,0.11,
2016-10-25,745959424.5,,0.07,
2016-10-26,471793664.58,,0.08,
2016-10-27,524699369.26,,0.13,
2016-10-28,1415179063.31,,0.13,
2016-10-31,941632892.85,,0.11,
2016-11-01,1642655183.93,,0.11,13208.7
2016-11-02,1940208326.42,,0.11,
2016-11-03,1254572360.8,,0.14,
2016-11-04,1069082288.75,,0.11,
2016-11-07,1223332265.28,,0.12,
2016-11-08,1153220178.21,,0.15,
2016-11-09,2216828895.48,,0.25,
2016-11-10,2666593000.0,,0.27,
2016-11-11,2386708748.9,,,
2016-11-14,2406890646.65,,0.4,
2016-11-15,1094908057.68,,0.41,
2016-11-16,640611878.58,,0.39,
2016-11-17,1201464972.06,,0.42,
2016-11-18,1202661160.94,,0.44,
2016-11-21,769092448.18,,0.42,
2016-11-22,738520131.85,,0.41,
2016-11-23,2376222825.0,,0.44,
2016-11-24,,,,
2016-11-25,602001802.26,,0.47,
2016-11-28,643584537.26,,0.47,
2016-11-29,842570197.03,,0.44,
2016-11-30,1220924625.0,,0.43,
2016-12-01,1141834989.37,,0.48,13234.9
2016-12-02,831686305.47,,0.49,
2016-12-05,1136358375.33,,0.45,
2016-12-06,616620192.69,,0.44,
2016-12-07,548168302.98,,0.42,
2016-12-08,666943144.18,,0.45,
2016-12-09,1160050096.03,,0.51,
2016-12-12,682285492.12,,0.51,
2016-12-13,879358695.7,,0.53,
2016-12-14,1407563711.68,,0.6,
2016-12-15,1548647797.16,,0.7,
2016-12-16,1145632572.36,,0.74,
2016-12-19,579772849.45,,0.68,
2016-12-20,789141375.7,,0.67,
2016-12-21,559601287.08,,0.64,
2016-12-22,531795833.9,,0.6,
2016-12-23,540966747.53,,0.58,
2016-12-26,,,,
2016-12-27,400097871.0,,0.58,
2016-12-28,554228035.11,,0.56,
